airline_sentiment,text
neutral, What @dhepburn said.
positive, plus you've added commercials to the experience... tacky.
neutral, I didn't today... Must mean I need to take another trip!
negative," it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
negative, and it's a really big bad thing about it
negative," seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
positive," yes, nearly every time I fly VX this “ear worm” won’t go away :)"
neutral," Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
positive," Well, I didn't…but NOW I DO! :-D"
positive," it was amazing, and arrived an hour early. You're too good to me."
neutral, did you know that suicide is the second leading cause of death among teens 10-24
positive, I &lt;3 pretty graphics. so much better than minimal iconography. :D
positive, This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
positive, @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
positive, Thanks!
negative, SFO-PDX schedule is still MIA.
positive, So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
negative,  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
positive,I ❤️ flying . ☺️👍
positive, you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
negative, why are your first fares in May over three times more than other carriers when all seats are available to select???
positive, I love this graphic. http://t.co/UT5GrRwAaA
positive, I love the hipster innovation. You are a feel good brand.
neutral, will you be making BOS&gt;LAS non stop permanently anytime soon?
negative, you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
negative, status match program.  I applied and it's been three weeks.  Called and emailed with no response.
negative, What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
neutral, do you miss me? Don't worry we'll be together very soon.
negative, amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
neutral, LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
negative," hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
neutral, Are the hours of operation for the Club at SFO that are posted online current?
negative," help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
negative," awaiting my return phone call, just would prefer to use your online self-service option :("
positive, this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
neutral,Nice RT : Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
positive, Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
positive," @freddieawards Done and done! Best airline around, hands down!"
neutral, when can I book my flight to Hawaii??
negative, Your chat support is not working on your site: http://t.co/vhp2GtDWPk
positive," View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
negative," Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
neutral, plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
neutral, I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
neutral, are flights leaving Dallas for Seattle on time Feb 24?
positive, I'm #elevategold for a good reason: you rock!!
neutral,  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
positive, wow this just blew my mind
neutral, @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
neutral, @ladygaga @carrieunderwood All were entertaining
neutral," Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
positive, @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
neutral, wish you flew out of Atlanta... Soon?
neutral, @ladygaga @carrieunderwood Julie Andrews. Hands down.
neutral, Will flights be leaving Dallas for LA on February 24th?
negative, hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
positive, you know it. Need it on my spotify stat #guiltypleasures
positive, @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
neutral, @ladygaga @carrieunderwood - Carrie!
neutral, New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
neutral, @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
negative, I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
neutral," @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
neutral," @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
positive, @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
neutral, Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
negative, heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
negative," Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
positive, Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
negative, everything was fine until you lost my bag
neutral, Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
neutral, I emailed your customer service team. Let me know if you need the tracking number.
neutral," hi I just booked a flight but need to add baggage, how can I do this?"
neutral, your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
