airline_sentiment,airline_sentiment_confidence,airline,retweet_count,text
neutral,1.0,Virgin America,0,@virginamerica what @dhepburn said.
positive,0.3486,Virgin America,0,@virginamerica plus you've added commercials to the experience... tacky.
neutral,0.6837,Virgin America,0,@virginamerica i didn't today... must mean i need to take another trip!
negative,1.0,Virgin America,0,"@virginamerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
negative,1.0,Virgin America,0,@virginamerica and it's a really big bad thing about it
negative,1.0,Virgin America,0,"@virginamerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying va"
positive,0.6745,Virgin America,0,"@virginamerica yes, nearly every time i fly vx this “ear worm” won’t go away :)"
neutral,0.634,Virgin America,0,"@virginamerica really missed a prime opportunity for men without hats parody, there. https://t.co/mwpg7grezp"
positive,0.6559,Virgin America,0,"@virginamerica well, i didn't…but now i do! :-d"
positive,1.0,Virgin America,0,"@virginamerica it was amazing, and arrived an hour early. you're too good to me."
neutral,0.6769,Virgin America,0,@virginamerica did you know that suicide is the second leading cause of death among teens 10-24
positive,1.0,Virgin America,0,@virginamerica i &lt;3 pretty graphics. so much better than minimal iconography. :d
positive,1.0,Virgin America,0,@virginamerica this is such a great deal! already thinking about my 2nd trip to @australia &amp; i haven't even gone on my 1st trip yet! ;p
positive,0.6451,Virgin America,0,@virginamerica @virginmedia i'm flying your #fabulous #seductive skies again! u take all the #stress away from travel http://t.co/ahlxhhkiyn
positive,1.0,Virgin America,0,@virginamerica thanks!
negative,0.6842,Virgin America,0,@virginamerica sfo-pdx schedule is still mia.
positive,1.0,Virgin America,0,@virginamerica so excited for my first cross country flight lax to mco i've heard nothing but great things about virgin america. #29daystogo
negative,1.0,Virgin America,0,@virginamerica  i flew from nyc to sfo last week and couldn't fully sit in my seat due to two large gentleman on either side of me. help!
positive,1.0,Virgin America,0,i ❤️ flying @virginamerica. ☺️👍
positive,1.0,Virgin America,0,@virginamerica you know what would be amazingly awesome? bos-fll please!!!!!!! i want to fly with only you.
negative,0.6705,Virgin America,0,@virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select???
positive,1.0,Virgin America,0,@virginamerica i love this graphic. http://t.co/ut5grrwaaa
positive,1.0,Virgin America,0,@virginamerica i love the hipster innovation. you are a feel good brand.
neutral,1.0,Virgin America,0,@virginamerica will you be making bos&gt;las non stop permanently anytime soon?
negative,1.0,Virgin America,0,@virginamerica you guys messed up my seating.. i reserved seating with my friends and you guys gave my seat away ... 😡 i want free internet
negative,1.0,Virgin America,0,@virginamerica status match program.  i applied and it's been three weeks.  called and emailed with no response.
negative,1.0,Virgin America,0,@virginamerica what happened 2 ur vegan food options?! at least say on ur site so i know i won't be able 2 eat anything for next 6 hrs #fail
neutral,0.6854,Virgin America,0,@virginamerica do you miss me? don't worry we'll be together very soon.
negative,1.0,Virgin America,0,@virginamerica amazing to me that we can't get any cold air from the vents. #vx358 #noair #worstflightever #roasted #sfotobos
neutral,0.615,Virgin America,0,@virginamerica lax to ewr - middle seat on a red eye. such a noob maneuver. #sendambien #andchexmix
negative,1.0,Virgin America,0,"@virginamerica hi! i just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during flight booking problems 😢"
neutral,1.0,Virgin America,0,@virginamerica are the hours of operation for the club at sfo that are posted online current?
negative,1.0,Virgin America,0,"@virginamerica help, left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering l&amp;f number at lax!"
negative,1.0,Virgin America,0,"@virginamerica awaiting my return phone call, just would prefer to use your online self-service option :("
positive,1.0,Virgin America,0,@virginamerica this is great news!  america could start flights to hawaii by end of year http://t.co/r8p2zy3fe4 via @pacificbiznews
neutral,0.6207,Virgin America,0,nice rt @virginamerica: vibe with the moodlight from takeoff to touchdown. #moodlitmonday #sciencebehindtheexperience http://t.co/y7o0unxtqp
positive,1.0,Virgin America,0,@virginamerica moodlighting is the only way to fly! best experience ever! cool and calming. 💜✈ #moodlitmonday
positive,1.0,Virgin America,0,"@virginamerica @freddieawards done and done! best airline around, hands down!"
neutral,0.6791,Virgin America,0,@virginamerica when can i book my flight to hawaii??
negative,1.0,Virgin America,0,@virginamerica your chat support is not working on your site: http://t.co/vhp2gtdwpk
positive,0.6639,Virgin America,0,"@virginamerica view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains! http://t.co/dw5nf0ibtr"
negative,0.6688,Virgin America,0,"@virginamerica hey, first time flyer next week - excited! but i'm having a hard time getting my flights added to my elevate account. help?"
neutral,1.0,Virgin America,0,@virginamerica plz help me win my bid upgrade for my flight 2/27 lax---&gt;sea!!!  🍷👍💺✈️
neutral,0.6578,Virgin America,0,@virginamerica i have an unused ticket but moved to a new city where you don't fly. how can i fly with you before it expires? #travelhelp
neutral,1.0,Virgin America,0,@virginamerica are flights leaving dallas for seattle on time feb 24?
positive,1.0,Virgin America,0,@virginamerica i'm #elevategold for a good reason: you rock!!
neutral,0.6799,Virgin America,0,@virginamerica  dream http://t.co/oa2drfaoq2 http://t.co/lwwdac2khx
positive,1.0,Virgin America,0,@virginamerica wow this just blew my mind
